id,value
0,677
1,910
2,909
3,249
4,739
5,212
6,965
7,733
8,3
9,223
10,346
11,642
12,783
13,248
14,612
15,438
16,814
17,970
18,416
19,142
20,751
21,777
22,419
23,553
24,332
25,540
26,372
27,428
28,26
29,784
30,538
31,860
32,443
33,474
34,579
35,13
36,872
37,704
38,131
39,794
40,430
41,13
42,509
43,113
44,599
45,244
46,831
47,523
48,454
49,573
50,317
51,255
52,20
53,397
54,138
55,949
56,290
57,566
58,852
59,628
60,347
61,280
62,766
63,982
64,207
65,90
66,293
67,657
68,643
69,623
70,76
71,856
72,731
73,342
74,412
75,542
76,961
77,676
78,560
79,821
80,488
81,774
82,723
83,821
84,440
85,366
86,991
87,540
88,135
89,339
90,9
91,97
92,486
93,595
94,409
95,877
96,261
97,459
98,841
99,301
100,238
101,706
102,314
103,922
104,939
105,624
106,461
107,61
108,740
109,975
110,735
111,320
112,934
113,99
114,175
115,78
116,646
117,250
118,236
119,373
120,941
121,254
122,928
123,288
124,519
125,693
126,746
127,962
128,12
129,831
130,780
131,804
132,570
133,830
134,354
135,550
136,801
137,712
138,572
139,383
140,48
141,520
142,642
143,172
144,869
145,627
146,628
147,365
148,437
149,455
150,345
151,561
152,823
153,436
154,695
155,782
156,316
157,27
158,885
159,244
160,487
161,192
162,528
163,505
164,228
165,150
166,366
167,682
168,165
169,88
170,830
171,359
172,167
173,486
174,181
175,5
176,496
177,325
178,520
179,296
180,324
181,601
182,322
183,578
184,689
185,850
186,83
187,398
188,539
189,238
190,499
191,903
192,713
193,933
194,200
195,356
196,334
197,266
198,459
199,333
200,919
201,203
202,155
203,995
204,571
205,224
206,802
207,211
208,400
209,235
210,202
211,168
212,556
213,469
214,30
215,912
216,407
217,574
218,562
219,388
220,941
221,436
222,562
223,580
224,620
225,130
226,862
227,949
228,237
229,924
230,738
231,875
232,583
233,533
234,502
235,221
236,263
237,292
238,501
239,130
240,646
241,812
242,175
243,301
244,197
245,855
246,97
247,475
248,488
249,74
250,705
251,429
252,932
253,442
254,665
255,941
256,776
257,608
258,112
259,356
260,39
261,974
262,512
263,976
264,532
265,354
266,738
267,402
268,771
269,326
270,591
271,404
272,379
273,185
274,657
275,886
276,798
277,553
278,923
279,3
280,177
281,923
282,670
283,642
284,428
285,881
286,876
287,725
288,547
289,435
290,93
291,807
292,122
293,419
294,51
295,152
296,856
297,519
298,82
299,539
300,254
301,893
302,798
303,753
304,933
305,155
306,638
307,943
308,383
309,792
310,381
311,49
312,466
313,248
314,990
315,443
316,931
317,360
318,593
319,62
320,943
321,359
322,641
323,649
324,902
325,473
326,723
327,928
328,470
329,989
330,148
331,631
332,15
333,50
334,417
335,122
336,752
337,568
338,831
339,56
340,440
341,343
342,294
343,81
344,929
345,672
346,601
347,486
348,610
349,335
350,543
351,695
352,158
353,289
354,87
355,918
356,497
357,411
358,743
359,371
360,251
361,875
362,133
363,789
364,169
365,162
366,363
367,990
368,898
369,787
370,277
371,585
372,78
373,974
374,287
375,599
376,968
377,479
378,638
379,36
380,261
381,731
382,530
383,736
384,432
385,592
386,836
387,104
388,294
389,964
390,653
391,373
392,819
393,806
394,66
395,449
396,18
397,292
398,312
399,562
400,685
401,394
402,205
403,473
404,877
405,726
406,870
407,337
408,930
409,797
410,428
411,303
412,774
413,822
414,589
415,584
416,591
417,556
418,767
419,59
420,946
421,18
422,198
423,809
424,312
425,121
426,750
427,656
428,671
429,658
430,579
431,687
432,215
433,795
434,628
435,717
436,902
437,642
438,166
439,825
440,60
441,737
442,331
443,363
444,775
445,233
446,623
447,197
448,524
449,615
450,515
451,220
452,724
453,343
454,464
455,147
456,522
457,215
458,307
459,485
460,423
461,384
462,398
463,628
464,105
465,196
466,720
467,201
468,115
469,870
470,598
471,956
472,18
473,994
474,82
475,880
476,476
477,482
478,973
479,316
480,753
481,477
482,841
483,317
484,542
485,363
486,670
487,263
488,667
489,7
490,96
491,796
492,587
493,587
494,170
495,583
496,704
497,238
498,535
499,967
