id,city,country
0,Darricktown,East Germany
1,North Bartholomeland,Philippines
2,South Eleanore,Brazil
3,East Kamronborough,South Korea
4,Vickytown,Saudi Arabia
5,Eribertotown,Saudi Arabia
6,South Jean,Cyprus
7,Port Tressie,Guinea-Bissau
8,South Malika,Japan
9,Port Matildafort,Saint Pierre and Miquelon
10,Lizzieton,Denmark
11,Donaldtown,Cook Islands
12,Vanton,Albania
13,Eastermouth,India
14,Balistreriton,Indonesia
15,Anabelleville,Poland
16,Hardybury,Timor-Leste
17,Port Lonzoburgh,Palau
18,South Neomastad,Guinea
19,Giovannyside,Iran
20,Rodolfofort,Niue
21,New Kaleb,Martinique
22,Lake Trevor,Ukraine
23,South Antonette,French Polynesia
24,Koelpinchester,Norfolk Island
25,East Delphinemouth,Indonesia
26,Funkfort,Tuvalu
27,Bahringerfort,Paraguay
28,Carlihaven,U.S. Minor Outlying Islands
29,New Spencerstad,Cook Islands
30,Jakubowskiton,Uzbekistan
31,East Haylieville,Liechtenstein
32,New Mallory,France
33,Murazikberg,Ethiopia
34,Hahnport,Palestinian Territories
35,Lake Bettyeberg,Suriname
36,Wilhelmmouth,Equatorial Guinea
37,Lake Grahamfurt,Liechtenstein
38,Evelynton,Sri Lanka
39,North Alfredoside,Mayotte
40,Schummview,Midway Islands
41,Quincyburgh,Burundi
42,Johnsonberg,Saint Kitts and Nevis
43,Reyeston,Seychelles
44,Wilkinsonhaven,Mozambique
45,Gutkowskistad,Tuvalu
46,Kautzerton,Ukraine
47,Fernandoberg,Somalia
48,Kutchberg,Hungary
49,Alvenahaven,British Indian Ocean Territory
50,Kamillemouth,Bolivia
51,Naderfurt,Burundi
52,Lake Waylonport,Myanmar [Burma]
53,North Ewaldmouth,Bermuda
54,Lonmouth,Saint Kitts and Nevis
55,Schustertown,Seychelles
56,Myrtisborough,Djibouti
57,Rogahnhaven,Norway
58,West Arielle,Isle of Man
59,Albinhaven,Saint Helena
60,Roweland,Hong Kong SAR China
61,North Dustin,Liberia
62,New Dennisberg,Cook Islands
63,Pollichmouth,East Germany
64,Jasenton,Grenada
65,Leoraville,Macau SAR China
66,North Branson,Montenegro
67,Enosfort,Dominica
68,West Madge,Saint Helena
69,Marshallstad,Bolivia
70,Sofiaport,Laos
71,Robelfurt,Argentina
72,Port Linnieside,Ethiopia
73,Lake Murl,Greece
74,Gradyhaven,Vatican City
75,Estevanport,Indonesia
76,North Ari,Singapore
77,Antwonchester,Malta
78,Jeramiestad,Congo - Brazzaville
79,Colemanview,Isle of Man
80,New Janis,New Caledonia
81,Queeniebury,Equatorial Guinea
82,Archville,Ukraine
83,North Bettie,Bulgaria
84,New Adelbert,Cambodia
85,Patfurt,Belarus
86,Lake Traceshire,Cayman Islands
87,West Monaville,Ecuador
88,East Kennediport,Jamaica
89,Wardmouth,Hungary
90,New Evert,French Southern Territories
91,East Garnettton,Tajikistan
92,Esmeraldaview,Guadeloupe
93,Joshside,Paraguay
